productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extCardType,extCardSubType,extClass,extCost,extPitchValue,extDefenseValue,extFlavorText,extPower,extTalent,extIntellect,extLife
453217,Blessing of Steel (Red),Blessing of Steel Red,https://tcgplayer-cdn.tcgplayer.com/product/453217_200w.jpg,62,17678,https://cpt.tcgcsv.com/mjF5,2025-03-12T21:11:32.84,1,0.02,0.2,1.4,0.07,,Normal,Rare,DYN073,Action,Aura,Warrior,1,1,3,"<em>""Not merely sword, nor steel. It is our resolve that makes us strong."" - Hala Goldenhelm</em>",,,,
453218,Prognosticate (Red),Prognosticate Red,https://tcgplayer-cdn.tcgplayer.com/product/453218_200w.jpg,62,17678,https://cpt.tcgcsv.com/njF5,2022-11-11T05:03:14.093,1,0.05,0.15,1.45,0.13,,Normal,Common,DYN203,Action,,Wizard,0,1,3,,,,,
453218,Prognosticate (Red),Prognosticate Red,https://tcgplayer-cdn.tcgplayer.com/product/453218_200w.jpg,62,17678,https://cpt.tcgcsv.com/njF5,2022-11-11T05:03:14.093,1,0.05,0.25,1.43,0.16,,Rainbow Foil,Common,DYN203,Action,,Wizard,0,1,3,,,,,
453219,Prognosticate (Yellow),Prognosticate Yellow,https://tcgplayer-cdn.tcgplayer.com/product/453219_200w.jpg,62,17678,https://cpt.tcgcsv.com/pjF5,2022-11-11T05:03:14.093,1,0.03,0.16,1.42,0.14,,Normal,Common,DYN204,Action,,Wizard,0,2,3,,,,,
453219,Prognosticate (Yellow),Prognosticate Yellow,https://tcgplayer-cdn.tcgplayer.com/product/453219_200w.jpg,62,17678,https://cpt.tcgcsv.com/pjF5,2022-11-11T05:03:14.093,1,0.05,0.25,1.5,,,Rainbow Foil,Common,DYN204,Action,,Wizard,0,2,3,,,,,
453220,Blessing of Steel (Yellow),Blessing of Steel Yellow,https://tcgplayer-cdn.tcgplayer.com/product/453220_200w.jpg,62,17678,https://cpt.tcgcsv.com/qjF5,2025-03-12T21:11:52.103,1,0.03,0.15,1.42,0.07,,Normal,Rare,DYN074,Action,Aura,Warrior,1,2,3,"<em>""Not merely sword, nor steel. It is our resolve that makes us strong."" - Hala Goldenhelm</em>",,,,
453220,Blessing of Steel (Yellow),Blessing of Steel Yellow,https://tcgplayer-cdn.tcgplayer.com/product/453220_200w.jpg,62,17678,https://cpt.tcgcsv.com/qjF5,2025-03-12T21:11:52.103,1,0.04,0.25,1.42,0.15,,Rainbow Foil,Rare,DYN074,Action,Aura,Warrior,1,2,3,"<em>""Not merely sword, nor steel. It is our resolve that makes us strong."" - Hala Goldenhelm</em>",,,,
453221,Blessing of Steel (Blue),Blessing of Steel Blue,https://tcgplayer-cdn.tcgplayer.com/product/453221_200w.jpg,62,17678,https://cpt.tcgcsv.com/rjF5,2025-03-12T21:11:47.313,1,0.07,0.25,1.45,0.15,,Rainbow Foil,Rare,DYN075,Action,Aura,Warrior,1,3,3,"<em>""Not merely sword, nor steel. It is our resolve that makes us strong."" - Hala Goldenhelm</em>",,,,
453221,Blessing of Steel (Blue),Blessing of Steel Blue,https://tcgplayer-cdn.tcgplayer.com/product/453221_200w.jpg,62,17678,https://cpt.tcgcsv.com/rjF5,2025-03-12T21:11:47.313,1,0.02,0.2,1.4,0.09,,Normal,Rare,DYN075,Action,Aura,Warrior,1,3,3,"<em>""Not merely sword, nor steel. It is our resolve that makes us strong."" - Hala Goldenhelm</em>",,,,
453222,Prognosticate (Blue),Prognosticate Blue,https://tcgplayer-cdn.tcgplayer.com/product/453222_200w.jpg,62,17678,https://cpt.tcgcsv.com/sjF5,2022-11-11T05:03:14.093,1,0.08,0.18,1.48,0.15,,Normal,Common,DYN205,Action,,Wizard,0,3,3,,,,,
453222,Prognosticate (Blue),Prognosticate Blue,https://tcgplayer-cdn.tcgplayer.com/product/453222_200w.jpg,62,17678,https://cpt.tcgcsv.com/sjF5,2022-11-11T05:03:14.093,1,0.15,0.41,2.24,0.36,,Rainbow Foil,Common,DYN205,Action,,Wizard,0,3,3,,,,,
453223,Sap (Red),Sap Red,https://tcgplayer-cdn.tcgplayer.com/product/453223_200w.jpg,62,17678,https://cpt.tcgcsv.com/tjF5,2022-11-11T05:03:14.093,1,0.08,0.25,1.0,0.17,,Rainbow Foil,Common,DYN206,Action,,Wizard,0,1,3,,,,,
453223,Sap (Red),Sap Red,https://tcgplayer-cdn.tcgplayer.com/product/453223_200w.jpg,62,17678,https://cpt.tcgcsv.com/tjF5,2022-11-11T05:03:14.093,1,0.04,0.15,1.43,0.1,,Normal,Common,DYN206,Action,,Wizard,0,1,3,,,,,
