productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extCardType,extCardSubType,extClass,extCost,extPitchValue,extDefenseValue,extPower,extFlavorText,extIntellect,extLife
488500,Ravenous Rabble (Yellow),Ravenous Rabble Yellow,https://tcgplayer-cdn.tcgplayer.com/product/488500_200w.jpg,62,22893,https://cpt.tcgcsv.com/0qW5,2024-05-08T19:38:06.987,1,0.01,0.15,1.39,0.08,,Normal,Common,OUT214,Action,Attack,Generic,0,2,2,4,,,
488501,Ravenous Rabble (Blue),Ravenous Rabble Blue,https://tcgplayer-cdn.tcgplayer.com/product/488501_200w.jpg,62,22893,https://cpt.tcgcsv.com/2qW5,2024-05-08T19:37:39.547,1,0.02,0.15,1.4,0.05,,Normal,Common,OUT215,Action,Attack,Generic,0,3,2,3,,,
488502,Spike Pit Trap,Spike Pit Trap,https://tcgplayer-cdn.tcgplayer.com/product/488502_200w.jpg,62,22893,https://cpt.tcgcsv.com/3qW5,2024-12-11T21:20:33.877,1,1.7,2.0,5.99,1.85,,Normal,Majestic,OUT104,Defense Reaction,Trap,Ranger,3,3,3,,,,
488502,Spike Pit Trap,Spike Pit Trap,https://tcgplayer-cdn.tcgplayer.com/product/488502_200w.jpg,62,22893,https://cpt.tcgcsv.com/3qW5,2024-12-11T21:20:33.877,1,3.5,6.25,9.5,4.56,,Rainbow Foil,Majestic,OUT104,Defense Reaction,Trap,Ranger,3,3,3,,,,
488503,Cyclone Roundhouse,Cyclone Roundhouse,https://tcgplayer-cdn.tcgplayer.com/product/488503_200w.jpg,62,22893,https://cpt.tcgcsv.com/5qW5,2023-03-24T04:03:16.763,1,0.2,0.99,4.99,0.43,,Normal,Majestic,OUT050,Action,Attack,Ninja,2,2,3,5,,,
488503,Cyclone Roundhouse,Cyclone Roundhouse,https://tcgplayer-cdn.tcgplayer.com/product/488503_200w.jpg,62,22893,https://cpt.tcgcsv.com/5qW5,2023-03-24T04:03:16.763,1,0.9,2.0,10.0,1.43,,Rainbow Foil,Majestic,OUT050,Action,Attack,Ninja,2,2,3,5,,,
488504,Melting Point,Melting Point,https://tcgplayer-cdn.tcgplayer.com/product/488504_200w.jpg,62,22893,https://cpt.tcgcsv.com/6qW5,2024-05-08T19:20:58.583,1,0.44,1.02,9.99,0.74,,Normal,Majestic,OUT105,Action,,Ranger,1,1,3,,,,
488504,Melting Point,Melting Point,https://tcgplayer-cdn.tcgplayer.com/product/488504_200w.jpg,62,22893,https://cpt.tcgcsv.com/6qW5,2024-05-08T19:20:58.583,1,1.18,3.11,15.0,2.49,,Rainbow Foil,Majestic,OUT105,Action,,Ranger,1,1,3,,,,
488505,Seek Horizon (Red),Seek Horizon Red,https://tcgplayer-cdn.tcgplayer.com/product/488505_200w.jpg,62,22893,https://cpt.tcgcsv.com/7qW5,2023-03-24T04:03:16.763,1,0.02,0.15,1.42,0.04,,Normal,Common,OUT216,Action,Attack,Generic,0,1,2,4,,,
488506,Boulder Trap (Yellow),Boulder Trap Yellow,https://tcgplayer-cdn.tcgplayer.com/product/488506_200w.jpg,62,22893,https://cpt.tcgcsv.com/8qW5,2024-12-11T21:20:33.993,1,0.24,0.47,208576.02,0.4,,Rainbow Foil,Rare,OUT106,Defense Reaction,Trap,Ranger,2,2,3,,,,
488506,Boulder Trap (Yellow),Boulder Trap Yellow,https://tcgplayer-cdn.tcgplayer.com/product/488506_200w.jpg,62,22893,https://cpt.tcgcsv.com/8qW5,2024-12-11T21:20:33.993,1,0.05,0.28,2.55,0.23,,Normal,Rare,OUT106,Defense Reaction,Trap,Ranger,2,2,3,,,,
488507,Wander With Purpose,Wander With Purpose,https://tcgplayer-cdn.tcgplayer.com/product/488507_200w.jpg,62,22893,https://cpt.tcgcsv.com/9qW5,2023-03-24T15:50:35.127,1,0.55,1.21,7.0,1.27,,Rainbow Foil,Majestic,OUT053,Action,Attack,Ninja,0,2,3,2,,,
488507,Wander With Purpose,Wander With Purpose,https://tcgplayer-cdn.tcgplayer.com/product/488507_200w.jpg,62,22893,https://cpt.tcgcsv.com/9qW5,2023-03-24T15:50:35.127,1,0.14,0.58,5.0,0.44,,Normal,Majestic,OUT053,Action,Attack,Ninja,0,2,3,2,,,
488508,Pendulum Trap (Yellow),Pendulum Trap Yellow,https://tcgplayer-cdn.tcgplayer.com/product/488508_200w.jpg,62,22893,https://cpt.tcgcsv.com/bqW5,2024-12-11T21:20:34.103,1,0.13,0.45,3.85,0.22,,Rainbow Foil,Rare,OUT107,Defense Reaction,Trap,Ranger,2,2,3,,,,
488508,Pendulum Trap (Yellow),Pendulum Trap Yellow,https://tcgplayer-cdn.tcgplayer.com/product/488508_200w.jpg,62,22893,https://cpt.tcgcsv.com/bqW5,2024-12-11T21:20:34.103,1,0.01,0.25,2.51,0.14,,Normal,Rare,OUT107,Defense Reaction,Trap,Ranger,2,2,3,,,,
488509,Tarpit Trap (Yellow),Tarpit Trap Yellow,https://tcgplayer-cdn.tcgplayer.com/product/488509_200w.jpg,62,22893,https://cpt.tcgcsv.com/cqW5,2024-12-11T21:20:34.207,1,0.45,0.83,3.2,0.74,,Normal,Rare,OUT108,Defense Reaction,Trap,Ranger,2,2,3,,,,
488509,Tarpit Trap (Yellow),Tarpit Trap Yellow,https://tcgplayer-cdn.tcgplayer.com/product/488509_200w.jpg,62,22893,https://cpt.tcgcsv.com/cqW5,2024-12-11T21:20:34.207,1,0.89,1.8,2.99,0.87,,Rainbow Foil,Rare,OUT108,Defense Reaction,Trap,Ranger,2,2,3,,,,
488510,Seek Horizon (Yellow),Seek Horizon Yellow,https://tcgplayer-cdn.tcgplayer.com/product/488510_200w.jpg,62,22893,https://cpt.tcgcsv.com/dqW5,2023-03-24T04:03:16.763,1,0.02,0.15,1.4,0.06,,Normal,Common,OUT217,Action,Attack,Generic,0,2,2,3,,,
488511,Silverwind Shuriken,Silverwind Shuriken,https://tcgplayer-cdn.tcgplayer.com/product/488511_200w.jpg,62,22893,https://cpt.tcgcsv.com/fqW5,2024-05-08T20:41:58.923,1,0.19,0.75,4.5,0.31,,Normal,Majestic,OUT054,Action,Shuriken Item,Ninja,0,3,,,,,
488511,Silverwind Shuriken,Silverwind Shuriken,https://tcgplayer-cdn.tcgplayer.com/product/488511_200w.jpg,62,22893,https://cpt.tcgcsv.com/fqW5,2024-05-08T20:41:58.923,1,0.47,0.99,9.99,1.06,,Rainbow Foil,Majestic,OUT054,Action,Shuriken Item,Ninja,0,3,,,,,
488511,Silverwind Shuriken,Silverwind Shuriken,https://tcgplayer-cdn.tcgplayer.com/product/488511_200w.jpg,62,22893,https://cpt.tcgcsv.com/fqW5,2024-05-08T20:41:58.923,1,7.0,14.57,49.99,7.41,,Cold Foil,Majestic,OUT054,Action,Shuriken Item,Ninja,0,3,,,,,
488512,Fletch a Red Tail (Red),Fletch a Red Tail Red,https://tcgplayer-cdn.tcgplayer.com/product/488512_200w.jpg,62,22893,https://cpt.tcgcsv.com/gqW5,2024-05-08T18:59:17.387,1,0.04,0.21,2.54,0.13,,Normal,Rare,OUT109,Action,,Ranger,1,1,2,,,,
488512,Fletch a Red Tail (Red),Fletch a Red Tail Red,https://tcgplayer-cdn.tcgplayer.com/product/488512_200w.jpg,62,22893,https://cpt.tcgcsv.com/gqW5,2024-05-08T18:59:17.387,1,0.12,0.52,1.4,0.52,,Rainbow Foil,Rare,OUT109,Action,,Ranger,1,1,2,,,,
488513,Fletch a Yellow Tail (Yellow),Fletch a Yellow Tail Yellow,https://tcgplayer-cdn.tcgplayer.com/product/488513_200w.jpg,62,22893,https://cpt.tcgcsv.com/hqW5,2024-12-11T21:20:34.253,1,0.05,0.34,1.41,0.3,,Rainbow Foil,Rare,OUT110,Action,,Ranger,2,2,2,,,,
488513,Fletch a Yellow Tail (Yellow),Fletch a Yellow Tail Yellow,https://tcgplayer-cdn.tcgplayer.com/product/488513_200w.jpg,62,22893,https://cpt.tcgcsv.com/hqW5,2024-12-11T21:20:34.253,1,0.01,0.2,2.52,0.07,,Normal,Rare,OUT110,Action,,Ranger,2,2,2,,,,
488514,Seek Horizon (Blue),Seek Horizon Blue,https://tcgplayer-cdn.tcgplayer.com/product/488514_200w.jpg,62,22893,https://cpt.tcgcsv.com/jqW5,2023-03-24T04:03:16.763,1,0.03,0.15,1.41,0.04,,Normal,Common,OUT218,Action,Attack,Generic,0,3,2,2,,,
488515,Fletch a Blue Tail (Blue),Fletch a Blue Tail Blue,https://tcgplayer-cdn.tcgplayer.com/product/488515_200w.jpg,62,22893,https://cpt.tcgcsv.com/kqW5,2024-12-11T21:20:34.3,1,0.1,0.32,1.48,0.32,,Rainbow Foil,Rare,OUT111,Action,,Ranger,3,3,2,,,,
488515,Fletch a Blue Tail (Blue),Fletch a Blue Tail Blue,https://tcgplayer-cdn.tcgplayer.com/product/488515_200w.jpg,62,22893,https://cpt.tcgcsv.com/kqW5,2024-12-11T21:20:34.3,1,0.02,0.2,2.52,0.09,,Normal,Rare,OUT111,Action,,Ranger,3,3,2,,,,
488516,Spring Load (Red),Spring Load Red,https://tcgplayer-cdn.tcgplayer.com/product/488516_200w.jpg,62,22893,https://cpt.tcgcsv.com/lqW5,2024-05-08T20:49:13.363,1,0.1,0.2,1.4,,,Rainbow Foil,Common,OUT219,Action,Attack,Generic,1,1,2,2,,,
488516,Spring Load (Red),Spring Load Red,https://tcgplayer-cdn.tcgplayer.com/product/488516_200w.jpg,62,22893,https://cpt.tcgcsv.com/lqW5,2024-05-08T20:49:13.363,1,0.03,0.15,1.42,0.08,,Normal,Common,OUT219,Action,Attack,Generic,1,1,2,2,,,
488517,Lace with Bloodrot (Red),Lace with Bloodrot Red,https://tcgplayer-cdn.tcgplayer.com/product/488517_200w.jpg,62,22893,https://cpt.tcgcsv.com/mqW5,2024-12-11T21:20:34.35,1,0.45,0.59,2.99,0.52,,Rainbow Foil,Rare,OUT112,Action,,Ranger,1,1,2,,,,
488517,Lace with Bloodrot (Red),Lace with Bloodrot Red,https://tcgplayer-cdn.tcgplayer.com/product/488517_200w.jpg,62,22893,https://cpt.tcgcsv.com/mqW5,2024-12-11T21:20:34.35,1,0.1,0.5,1.12,0.44,,Normal,Rare,OUT112,Action,,Ranger,1,1,2,,,,
488518,Visit the Floating Dojo,Visit the Floating Dojo,https://tcgplayer-cdn.tcgplayer.com/product/488518_200w.jpg,62,22893,https://cpt.tcgcsv.com/nqW5,2024-05-08T21:00:31.947,1,0.99,1.99,14.99,1.92,,Rainbow Foil,Majestic,OUT055,Instant,,Ninja,0,3,,,"<em>Grand masters of old reside atop Skylark peak. Amongst these Transcendents, he may find the answers he seeks.</em>",,
488518,Visit the Floating Dojo,Visit the Floating Dojo,https://tcgplayer-cdn.tcgplayer.com/product/488518_200w.jpg,62,22893,https://cpt.tcgcsv.com/nqW5,2024-05-08T21:00:31.947,1,0.33,0.99,10.0,0.74,,Normal,Majestic,OUT055,Instant,,Ninja,0,3,,,"<em>Grand masters of old reside atop Skylark peak. Amongst these Transcendents, he may find the answers he seeks.</em>",,
488519,Lace with Frailty (Red),Lace with Frailty Red,https://tcgplayer-cdn.tcgplayer.com/product/488519_200w.jpg,62,22893,https://cpt.tcgcsv.com/pqW5,2025-03-03T19:45:37.407,1,0.22,0.31,2.72,0.25,,Normal,Rare,OUT113,Action,,Ranger,1,1,2,,,,
488519,Lace with Frailty (Red),Lace with Frailty Red,https://tcgplayer-cdn.tcgplayer.com/product/488519_200w.jpg,62,22893,https://cpt.tcgcsv.com/pqW5,2025-03-03T19:45:37.407,1,0.25,0.5,1.88,0.46,,Rainbow Foil,Rare,OUT113,Action,,Ranger,1,1,2,,,,
488520,Lace with Inertia (Red),Lace with Inertia Red,https://tcgplayer-cdn.tcgplayer.com/product/488520_200w.jpg,62,22893,https://cpt.tcgcsv.com/qqW5,2024-12-11T21:20:34.51,1,0.1,0.45,2.76,0.32,,Normal,Rare,OUT114,Action,,Ranger,1,1,2,,,,
488520,Lace with Inertia (Red),Lace with Inertia Red,https://tcgplayer-cdn.tcgplayer.com/product/488520_200w.jpg,62,22893,https://cpt.tcgcsv.com/qqW5,2024-12-11T21:20:34.51,1,0.25,0.45,1.4,0.42,,Rainbow Foil,Rare,OUT114,Action,,Ranger,1,1,2,,,,
488521,Spring Load (Yellow),Spring Load Yellow,https://tcgplayer-cdn.tcgplayer.com/product/488521_200w.jpg,62,22893,https://cpt.tcgcsv.com/rqW5,2024-05-08T20:49:30.327,1,0.02,0.15,1.4,0.04,,Normal,Common,OUT220,Action,Attack,Generic,1,2,2,2,,,
488521,Spring Load (Yellow),Spring Load Yellow,https://tcgplayer-cdn.tcgplayer.com/product/488521_200w.jpg,62,22893,https://cpt.tcgcsv.com/rqW5,2024-05-08T20:49:30.327,1,0.05,0.23,1.08,,,Rainbow Foil,Common,OUT220,Action,Attack,Generic,1,2,2,2,,,
488522,Falcon Wing (Red),Falcon Wing Red,https://tcgplayer-cdn.tcgplayer.com/product/488522_200w.jpg,62,22893,https://cpt.tcgcsv.com/sqW5,2024-12-11T21:20:34.557,1,0.05,0.27,199513.45,0.23,,Rainbow Foil,Common,OUT115,Action,Arrow Attack,Ranger,1,1,3,3,,,
488522,Falcon Wing (Red),Falcon Wing Red,https://tcgplayer-cdn.tcgplayer.com/product/488522_200w.jpg,62,22893,https://cpt.tcgcsv.com/sqW5,2024-12-11T21:20:34.557,1,0.04,0.19,1.4,0.15,,Normal,Common,OUT115,Action,Arrow Attack,Ranger,1,1,3,3,,,
488523,Spring Load (Blue),Spring Load Blue,https://tcgplayer-cdn.tcgplayer.com/product/488523_200w.jpg,62,22893,https://cpt.tcgcsv.com/tqW5,2024-05-08T20:48:58.95,1,0.02,0.15,1.01,0.03,,Normal,Common,OUT221,Action,Attack,Generic,1,3,2,2,,,
488523,Spring Load (Blue),Spring Load Blue,https://tcgplayer-cdn.tcgplayer.com/product/488523_200w.jpg,62,22893,https://cpt.tcgcsv.com/tqW5,2024-05-08T20:48:58.95,1,0.05,0.25,0.75,,,Rainbow Foil,Common,OUT221,Action,Attack,Generic,1,3,2,2,,,
488524,Falcon Wing (Yellow),Falcon Wing Yellow,https://tcgplayer-cdn.tcgplayer.com/product/488524_200w.jpg,62,22893,https://cpt.tcgcsv.com/vqW5,2024-12-11T21:20:34.617,1,0.04,0.25,1.42,0.04,,Rainbow Foil,Common,OUT116,Action,Arrow Attack,Ranger,2,2,3,2,,,
488524,Falcon Wing (Yellow),Falcon Wing Yellow,https://tcgplayer-cdn.tcgplayer.com/product/488524_200w.jpg,62,22893,https://cpt.tcgcsv.com/vqW5,2024-12-11T21:20:34.617,1,0.04,0.15,1.42,0.14,,Normal,Common,OUT116,Action,Arrow Attack,Ranger,2,2,3,2,,,
