productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extCardType,extClass,extTalent,extIntellect,extLife,extCost,extPitchValue,extDefenseValue,extCardSubType,extPower
561284,Earth Form (Yellow),Earth Form Yellow,https://tcgplayer-cdn.tcgplayer.com/product/561284_200w.jpg,62,23540,https://cpt.tcgcsv.com/Jwv6,2024-09-20T04:08:44,1,0.04,0.25,1.4,0.15,,Normal,Rare,ROS037,Action,,Earth,,,3,2,2,Attack,6
561284,Earth Form (Yellow),Earth Form Yellow,https://tcgplayer-cdn.tcgplayer.com/product/561284_200w.jpg,62,23540,https://cpt.tcgcsv.com/Jwv6,2024-09-20T04:08:44,1,0.05,0.27,1.41,0.19,,Rainbow Foil,Rare,ROS037,Action,,Earth,,,3,2,2,Attack,6
561285,Earth Form (Blue),Earth Form Blue,https://tcgplayer-cdn.tcgplayer.com/product/561285_200w.jpg,62,23540,https://cpt.tcgcsv.com/Kwv6,2024-09-20T04:08:44,1,0.14,0.38,1.0,0.43,,Rainbow Foil,Rare,ROS038,Action,,Earth,,,3,3,2,Attack,5
561285,Earth Form (Blue),Earth Form Blue,https://tcgplayer-cdn.tcgplayer.com/product/561285_200w.jpg,62,23540,https://cpt.tcgcsv.com/Kwv6,2024-09-20T04:08:44,1,0.04,0.25,1.41,0.14,,Normal,Rare,ROS038,Action,,Earth,,,3,3,2,Attack,5
561286,Channel Lightning Valley,Channel Lightning Valley,https://tcgplayer-cdn.tcgplayer.com/product/561286_200w.jpg,62,23540,https://cpt.tcgcsv.com/Lwv6,2024-09-20T04:08:44,1,15.05,16.49,39.5,15.05,,Rainbow Foil,Majestic,ROS077,Instant,,Lightning,,,0,2,,Aura,
561286,Channel Lightning Valley,Channel Lightning Valley,https://tcgplayer-cdn.tcgplayer.com/product/561286_200w.jpg,62,23540,https://cpt.tcgcsv.com/Lwv6,2024-09-20T04:08:44,1,14.18,17.24,24.39,13.54,,Normal,Majestic,ROS077,Instant,,Lightning,,,0,2,,Aura,
561287,Lightning Form (Red),Lightning Form Red,https://tcgplayer-cdn.tcgplayer.com/product/561287_200w.jpg,62,23540,https://cpt.tcgcsv.com/Mwv6,2024-09-20T04:08:44,1,0.12,0.41,1.39,0.41,,Rainbow Foil,Rare,ROS082,Action,,Lightning,,,1,1,2,Attack,5
561287,Lightning Form (Red),Lightning Form Red,https://tcgplayer-cdn.tcgplayer.com/product/561287_200w.jpg,62,23540,https://cpt.tcgcsv.com/Mwv6,2024-09-20T04:08:44,1,0.08,0.25,1.48,0.15,,Normal,Rare,ROS082,Action,,Lightning,,,1,1,2,Attack,5
561288,Lightning Form (Yellow),Lightning Form Yellow,https://tcgplayer-cdn.tcgplayer.com/product/561288_200w.jpg,62,23540,https://cpt.tcgcsv.com/Nwv6,2024-09-20T04:08:44,1,0.15,0.28,1.46,0.22,,Rainbow Foil,Rare,ROS083,Action,,Lightning,,,1,2,2,Attack,4
561288,Lightning Form (Yellow),Lightning Form Yellow,https://tcgplayer-cdn.tcgplayer.com/product/561288_200w.jpg,62,23540,https://cpt.tcgcsv.com/Nwv6,2024-09-20T04:08:44,1,0.05,0.2,1.45,0.15,,Normal,Rare,ROS083,Action,,Lightning,,,1,2,2,Attack,4
561290,Lightning Form (Blue),Lightning Form Blue,https://tcgplayer-cdn.tcgplayer.com/product/561290_200w.jpg,62,23540,https://cpt.tcgcsv.com/Qwv6,2024-09-20T04:08:44,1,0.02,0.23,1.34,0.13,,Normal,Rare,ROS084,Action,,Lightning,,,1,3,2,Attack,3
561290,Lightning Form (Blue),Lightning Form Blue,https://tcgplayer-cdn.tcgplayer.com/product/561290_200w.jpg,62,23540,https://cpt.tcgcsv.com/Qwv6,2024-09-20T04:08:44,1,0.1,0.3,1.0,0.18,,Rainbow Foil,Rare,ROS084,Action,,Lightning,,,1,3,2,Attack,3
561292,Hand Behind the Pen,Hand Behind the Pen,https://tcgplayer-cdn.tcgplayer.com/product/561292_200w.jpg,62,23540,https://cpt.tcgcsv.com/Swv6,2024-09-20T04:08:44,1,0.04,0.25,1.43,0.14,,Normal,Rare,ROS220,Action,Generic,,,,2,1,2,Attack,6
