productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extCardType,extCardSubType,extClass,extDefenseValue,extCost,extPitchValue,extPower,extIntellect,extLife,extFlavorText
271119,Braveforge Bracers,Braveforge Bracers,https://tcgplayer-cdn.tcgplayer.com/product/271119_200w.jpg,62,3053,https://cpt.tcgcsv.com/psb3,2022-05-06T09:53:58.32,1,22.31,25.0,36.99,24.82,,Normal,Legendary,1HP144,Equipment,Arms,Warrior,2,,,,,,
271120,Scar for a Scar (Red),Scar for a Scar Red,https://tcgplayer-cdn.tcgplayer.com/product/271120_200w.jpg,62,3053,https://cpt.tcgcsv.com/qsb3,2022-05-06T10:19:08.22,1,0.1,0.25,3.79,0.17,,Normal,Common,1HP396,Action,Attack,Generic,2,0,1,4,,,
271121,Bloodspill Invocation (Blue),Bloodspill Invocation Blue,https://tcgplayer-cdn.tcgplayer.com/product/271121_200w.jpg,62,3053,https://cpt.tcgcsv.com/rsb3,2022-05-06T09:53:26.21,1,0.05,0.2,1.97,0.07,,Normal,Common,1HP293,Action,Aura,Runeblade,2,1,3,,,,
271122,Refraction Bolters,Refraction Bolters,https://tcgplayer-cdn.tcgplayer.com/product/271122_200w.jpg,62,3053,https://cpt.tcgcsv.com/ssb3,2022-05-06T10:16:45.54,1,0.06,0.21,1.05,0.15,,Normal,Common,1HP145,Equipment,Legs,Warrior,1,,,,,,
271123,Scar for a Scar (Yellow),Scar for a Scar Yellow,https://tcgplayer-cdn.tcgplayer.com/product/271123_200w.jpg,62,3053,https://cpt.tcgcsv.com/tsb3,2022-05-06T10:20:02.293,1,0.03,0.15,1.41,0.05,,Normal,Common,1HP397,Action,Attack,Generic,2,0,2,3,,,
271124,Endless Arrow,Endless Arrow,https://tcgplayer-cdn.tcgplayer.com/product/271124_200w.jpg,62,3053,https://cpt.tcgcsv.com/vsb3,2022-05-06T09:59:09.14,1,0.47,1.89,9.99,1.09,,Normal,Majestic,1HP228,Action,Arrow Attack,Ranger,3,0,1,4,,,
271125,Scar for a Scar (Blue),Scar for a Scar Blue,https://tcgplayer-cdn.tcgplayer.com/product/271125_200w.jpg,62,3053,https://cpt.tcgcsv.com/wsb3,2022-05-06T10:19:04.033,1,0.05,0.15,1.43,0.05,,Normal,Common,1HP398,Action,Attack,Generic,2,0,3,2,,,
271126,Red in the Ledger,Red in the Ledger,https://tcgplayer-cdn.tcgplayer.com/product/271126_200w.jpg,62,3053,https://cpt.tcgcsv.com/xsb3,2022-05-06T10:13:39.683,1,0.48,0.91,19.99,0.77,,Normal,Majestic,1HP229,Action,Arrow Attack,Ranger,3,1,1,5,,,
271127,Pummel (Red),Pummel Red,https://tcgplayer-cdn.tcgplayer.com/product/271127_200w.jpg,62,3053,https://cpt.tcgcsv.com/zsb3,2022-05-06T10:09:59.673,1,1.46,1.59,3.32,1.54,,Normal,Common,1HP399,Attack Reaction,,Generic,2,2,1,,,,
271128,Remorseless,Remorseless,https://tcgplayer-cdn.tcgplayer.com/product/271128_200w.jpg,62,3053,https://cpt.tcgcsv.com/Bsb3,2025-03-13T18:11:32.863,1,0.98,3.56,25.0,1.56,,Normal,Majestic,1HP230,Action,Arrow Attack,Ranger,3,1,1,5,,,
