productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extCardType,extClass,extIntellect,extLife,extCost,extPitchValue,extDefenseValue,extCardSubType,extPower,extFlavorText,extTalent
533024,Mini Meataxe,mini meataxe,https://tcgplayer-cdn.tcgplayer.com/product/533024_200w.jpg,62,23354,https://cpt.tcgcsv.com/vdh6,2024-02-02T05:03:19.723,1,0.35,1.0,9.99,0.77,,Cold Foil,Rare,HVY007,Weapon,Brute,,,,,,Axe (1H),3,,
533024,Mini Meataxe,mini meataxe,https://tcgplayer-cdn.tcgplayer.com/product/533024_200w.jpg,62,23354,https://cpt.tcgcsv.com/vdh6,2024-02-02T05:03:19.723,1,0.01,0.25,1.6,0.23,,Normal,Rare,HVY007,Weapon,Brute,,,,,,Axe (1H),3,,
533025,Apex Bonebreaker,Apex Bonebreaker,https://tcgplayer-cdn.tcgplayer.com/product/533025_200w.jpg,62,23354,https://cpt.tcgcsv.com/wdh6,2024-02-02T05:03:19.723,1,50.45,60.98,80.0,57.04,,Rainbow Foil,Legendary,HVY008,Equipment,Brute,,,,,2,Arms,,,
533025,Apex Bonebreaker,Apex Bonebreaker,https://tcgplayer-cdn.tcgplayer.com/product/533025_200w.jpg,62,23354,https://cpt.tcgcsv.com/wdh6,2024-02-02T05:03:19.723,1,66.41,93.71,129.16,81.64,,Cold Foil,Legendary,HVY008,Equipment,Brute,,,,,2,Arms,,,
533026,Knucklehead,knucklehead,https://tcgplayer-cdn.tcgplayer.com/product/533026_200w.jpg,62,23354,https://cpt.tcgcsv.com/xdh6,2024-02-02T05:03:19.723,1,0.03,0.25,1.62,0.15,,Normal,Rare,HVY009,Equipment,Brute,,,,,2,Head,,,
533027,Monstrous Veil,monstrous veil,https://tcgplayer-cdn.tcgplayer.com/product/533027_200w.jpg,62,23354,https://cpt.tcgcsv.com/zdh6,2024-02-02T05:03:19.723,1,0.09,0.25,1.69,0.16,,Normal,Rare,HVY010,Equipment,Brute,,,,,1,Head,,,
533028,Raw Meat,raw meat,https://tcgplayer-cdn.tcgplayer.com/product/533028_200w.jpg,62,23354,https://cpt.tcgcsv.com/Bdh6,2024-02-02T05:03:19.723,1,0.4,0.83,13.99,0.76,,Cold Foil,Common,HVY011,Equipment,Brute,,,,,0,Chest,,,
533028,Raw Meat,raw meat,https://tcgplayer-cdn.tcgplayer.com/product/533028_200w.jpg,62,23354,https://cpt.tcgcsv.com/Bdh6,2024-02-02T05:03:19.723,1,0.01,0.16,1.58,0.04,,Normal,Common,HVY011,Equipment,Brute,,,,,0,Chest,,,
533029,High Riser // Cintari Saber,High Riser Cintari Saber,https://tcgplayer-cdn.tcgplayer.com/product/533029_200w.jpg,62,23354,https://cpt.tcgcsv.com/Cdh6,2024-02-22T14:54:52.927,2,0.01,0.15,1.35,0.06,,Normal,Token,HVY049 // HVY094,Weapon,Guardian;Warrior,,,,,,Sword (1H);Hammer (1H),3 // 2,,
533030,Aurum Aegis,Aurum Aegis,https://tcgplayer-cdn.tcgplayer.com/product/533030_200w.jpg,62,23354,https://cpt.tcgcsv.com/Ddh6,2024-02-02T05:03:19.723,1,11.1,18.99,89.95,14.44,,Rainbow Foil,Legendary,HVY051,Equipment,Guardian,,,,,2,Off-Hand,,,
533030,Aurum Aegis,Aurum Aegis,https://tcgplayer-cdn.tcgplayer.com/product/533030_200w.jpg,62,23354,https://cpt.tcgcsv.com/Ddh6,2024-02-02T05:03:19.723,1,21.72,34.99,77.77,29.99,,Cold Foil,Legendary,HVY051,Equipment,Guardian,,,,,2,Off-Hand,,,
533031,Stonewall Impasse,stonewall impasse,https://tcgplayer-cdn.tcgplayer.com/product/533031_200w.jpg,62,23354,https://cpt.tcgcsv.com/Fdh6,2024-02-02T05:03:19.723,1,0.09,0.69,8.0,0.6,,Cold Foil,Rare,HVY052,Equipment,Guardian,,,,,1,Off-Hand,,,
533031,Stonewall Impasse,stonewall impasse,https://tcgplayer-cdn.tcgplayer.com/product/533031_200w.jpg,62,23354,https://cpt.tcgcsv.com/Fdh6,2024-02-02T05:03:19.723,1,0.01,0.25,1.6,0.15,,Normal,Rare,HVY052,Equipment,Guardian,,,,,1,Off-Hand,,,
533032,Gauntlets of Iron Will,Gauntlets of Iron Will,https://tcgplayer-cdn.tcgplayer.com/product/533032_200w.jpg,62,23354,https://cpt.tcgcsv.com/Gdh6,2024-02-02T05:03:19.723,1,39.99,48.75,99.95,45.64,,Rainbow Foil,Legendary,HVY053,Equipment,Guardian,,,,,2,Arms,,,
533032,Gauntlets of Iron Will,Gauntlets of Iron Will,https://tcgplayer-cdn.tcgplayer.com/product/533032_200w.jpg,62,23354,https://cpt.tcgcsv.com/Gdh6,2024-02-02T05:03:19.723,1,76.99,84.97,150.0,59.22,,Cold Foil,Legendary,HVY053,Equipment,Guardian,,,,,2,Arms,,,
533033,Golden Glare,golden glare,https://tcgplayer-cdn.tcgplayer.com/product/533033_200w.jpg,62,23354,https://cpt.tcgcsv.com/Hdh6,2024-02-02T05:03:19.723,1,0.03,0.25,0.99,0.15,,Normal,Rare,HVY054,Equipment,Guardian,,,,,2,Head,,,
533034,Good Time Chapeau,good time chapeau,https://tcgplayer-cdn.tcgplayer.com/product/533034_200w.jpg,62,23354,https://cpt.tcgcsv.com/Jdh6,2024-02-02T05:03:19.723,1,0.05,0.25,1.67,0.18,,Normal,Rare,HVY055,Equipment,Guardian,,,,,2,Head,,,
533035,Stand Ground,stand ground,https://tcgplayer-cdn.tcgplayer.com/product/533035_200w.jpg,62,23354,https://cpt.tcgcsv.com/Kdh6,2024-02-02T05:03:19.723,1,0.32,0.71,9.9,0.59,,Cold Foil,Common,HVY056,Equipment,Guardian,,,,,0,Legs,,,
533035,Stand Ground,stand ground,https://tcgplayer-cdn.tcgplayer.com/product/533035_200w.jpg,62,23354,https://cpt.tcgcsv.com/Kdh6,2024-02-02T05:03:19.723,1,0.01,0.2,1.6,0.06,,Normal,Common,HVY056,Equipment,Guardian,,,,,0,Legs,,,
533036,Hot Streak,Hot Streak,https://tcgplayer-cdn.tcgplayer.com/product/533036_200w.jpg,62,23354,https://cpt.tcgcsv.com/Ldh6,2025-03-03T20:13:05.87,1,0.09,0.29,1.78,0.28,,Normal,Rare,HVY095,Weapon,Warrior,,,,,,Sword (1H),2,,
533036,Hot Streak,Hot Streak,https://tcgplayer-cdn.tcgplayer.com/product/533036_200w.jpg,62,23354,https://cpt.tcgcsv.com/Ldh6,2025-03-03T20:13:05.87,1,3.5,5.49,29.89,4.99,,Cold Foil,Rare,HVY095,Weapon,Warrior,,,,,,Sword (1H),2,,
533037,Parry Blade,parry blade,https://tcgplayer-cdn.tcgplayer.com/product/533037_200w.jpg,62,23354,https://cpt.tcgcsv.com/Mdh6,2024-02-02T05:03:19.723,1,0.94,1.34,20.0,1.17,,Cold Foil,Rare,HVY096,Equipment,Warrior,,,,,0,Sword (1H),2,,
533037,Parry Blade,parry blade,https://tcgplayer-cdn.tcgplayer.com/product/533037_200w.jpg,62,23354,https://cpt.tcgcsv.com/Mdh6,2024-02-02T05:03:19.723,1,0.04,0.25,1.63,0.15,,Normal,Rare,HVY096,Equipment,Warrior,,,,,0,Sword (1H),2,,
533038,Grains of Bloodspill,Grains of Bloodspill,https://tcgplayer-cdn.tcgplayer.com/product/533038_200w.jpg,62,23354,https://cpt.tcgcsv.com/Ndh6,2024-02-02T05:03:19.723,1,108.0,116.89,189.98,123.04,,Cold Foil,Legendary,HVY097,Equipment,Warrior,,,,,2,Chest,,,
533038,Grains of Bloodspill,Grains of Bloodspill,https://tcgplayer-cdn.tcgplayer.com/product/533038_200w.jpg,62,23354,https://cpt.tcgcsv.com/Ndh6,2024-02-02T05:03:19.723,1,83.99,92.99,583.82,83.61,,Rainbow Foil,Legendary,HVY097,Equipment,Warrior,,,,,2,Chest,,,
533039,Prized Galea,prized galea,https://tcgplayer-cdn.tcgplayer.com/product/533039_200w.jpg,62,23354,https://cpt.tcgcsv.com/Pdh6,2024-02-02T05:03:19.723,1,0.1,0.26,0.99,0.23,,Normal,Rare,HVY098,Equipment,Warrior,,,,,2,Head,,,
533040,Hood of Red Sand,Hood of Red Sand,https://tcgplayer-cdn.tcgplayer.com/product/533040_200w.jpg,62,23354,https://cpt.tcgcsv.com/Qdh6,2024-03-07T19:32:52.847,1,0.05,0.25,1.51,0.21,,Normal,Rare,HVY099,Equipment,Warrior,,,,,1,Head,,,
533041,Beckon Applause,beckon applause,https://tcgplayer-cdn.tcgplayer.com/product/533041_200w.jpg,62,23354,https://cpt.tcgcsv.com/Rdh6,2024-02-02T05:03:19.723,1,0.01,0.15,1.58,0.07,,Normal,Common,HVY100,Equipment,Warrior,,,,,0,Arms,,,
533041,Beckon Applause,beckon applause,https://tcgplayer-cdn.tcgplayer.com/product/533041_200w.jpg,62,23354,https://cpt.tcgcsv.com/Rdh6,2024-02-02T05:03:19.723,1,0.42,1.0,9.99,0.74,,Cold Foil,Common,HVY100,Equipment,Warrior,,,,,0,Arms,,,
533042,Gauntlet of Might,gauntlet of might,https://tcgplayer-cdn.tcgplayer.com/product/533042_200w.jpg,62,23354,https://cpt.tcgcsv.com/Sdh6,2024-02-02T05:03:19.723,1,0.09,0.95,9.99,0.65,,Cold Foil,Common,HVY135,Equipment,Brute;Guardian,,,,,1,Arms,,,
533042,Gauntlet of Might,gauntlet of might,https://tcgplayer-cdn.tcgplayer.com/product/533042_200w.jpg,62,23354,https://cpt.tcgcsv.com/Sdh6,2024-02-02T05:03:19.723,1,0.01,0.15,1.58,0.05,,Normal,Common,HVY135,Equipment,Brute;Guardian,,,,,1,Arms,,,
533043,Flat Trackers,flat trackers,https://tcgplayer-cdn.tcgplayer.com/product/533043_200w.jpg,62,23354,https://cpt.tcgcsv.com/Tdh6,2024-02-02T05:03:19.723,1,0.09,0.8,10.0,0.76,,Cold Foil,Common,HVY155,Equipment,Brute;Warrior,,,,,1,Legs,,,
533043,Flat Trackers,flat trackers,https://tcgplayer-cdn.tcgplayer.com/product/533043_200w.jpg,62,23354,https://cpt.tcgcsv.com/Tdh6,2024-02-02T05:03:19.723,1,0.01,0.15,1.58,0.06,,Normal,Common,HVY155,Equipment,Brute;Warrior,,,,,1,Legs,,,
533044,Vigor Girth,vigor girth,https://tcgplayer-cdn.tcgplayer.com/product/533044_200w.jpg,62,23354,https://cpt.tcgcsv.com/Vdh6,2024-02-02T05:03:19.723,1,0.21,0.91,10.99,0.54,,Cold Foil,Common,HVY175,Equipment,Guardian;Warrior,,,,,1,Chest,,,
533044,Vigor Girth,vigor girth,https://tcgplayer-cdn.tcgplayer.com/product/533044_200w.jpg,62,23354,https://cpt.tcgcsv.com/Vdh6,2024-02-02T05:03:19.723,1,0.01,0.2,1.58,0.06,,Normal,Common,HVY175,Equipment,Guardian;Warrior,,,,,1,Chest,,,
533045,Balance of Justice,Balance of Justice,https://tcgplayer-cdn.tcgplayer.com/product/533045_200w.jpg,62,23354,https://cpt.tcgcsv.com/Wdh6,2024-02-02T05:03:19.723,1,135.0,150.0,618.09,128.05,,Rainbow Foil,Legendary,HVY195,Equipment,Generic,,,,,2,Head,,,
533045,Balance of Justice,Balance of Justice,https://tcgplayer-cdn.tcgplayer.com/product/533045_200w.jpg,62,23354,https://cpt.tcgcsv.com/Wdh6,2024-02-02T05:03:19.723,1,200.0,222.66,233.2,186.23,,Cold Foil,Legendary,HVY195,Equipment,Generic,,,,,2,Head,,,
533046,Glory Seeker,glory seeker,https://tcgplayer-cdn.tcgplayer.com/product/533046_200w.jpg,62,23354,https://cpt.tcgcsv.com/Xdh6,2024-02-02T05:03:19.723,1,0.54,1.18,9.99,0.92,,Cold Foil,Common,HVY196,Equipment,Generic,,,,,,Head,,,
533046,Glory Seeker,glory seeker,https://tcgplayer-cdn.tcgplayer.com/product/533046_200w.jpg,62,23354,https://cpt.tcgcsv.com/Xdh6,2024-02-02T05:03:19.723,1,0.01,0.15,1.58,0.08,,Normal,Common,HVY196,Equipment,Generic,,,,,,Head,,,
533047,Sheltered Cove,sheltered cove,https://tcgplayer-cdn.tcgplayer.com/product/533047_200w.jpg,62,23354,https://cpt.tcgcsv.com/Zdh6,2024-02-02T05:03:19.723,1,0.01,0.15,1.58,0.05,,Normal,Common,HVY197,Equipment,Generic,,,,,,Head,,,
533047,Sheltered Cove,sheltered cove,https://tcgplayer-cdn.tcgplayer.com/product/533047_200w.jpg,62,23354,https://cpt.tcgcsv.com/Zdh6,2024-02-02T05:03:19.723,1,0.4,1.5,9.0,1.55,,Cold Foil,Common,HVY197,Equipment,Generic,,,,,,Head,,,
533048,Face Adversity,face adversity,https://tcgplayer-cdn.tcgplayer.com/product/533048_200w.jpg,62,23354,https://cpt.tcgcsv.com/-dh6,2024-02-02T05:03:19.723,1,0.01,0.16,1.63,0.07,,Normal,Common,HVY198,Equipment,Generic,,,,,2,Head,,,
533048,Face Adversity,face adversity,https://tcgplayer-cdn.tcgplayer.com/product/533048_200w.jpg,62,23354,https://cpt.tcgcsv.com/-dh6,2024-02-02T05:03:19.723,1,0.4,0.61,9.69,0.53,,Cold Foil,Common,HVY198,Equipment,Generic,,,,,2,Head,,,
533049,Confront Adversity,confront adversity,https://tcgplayer-cdn.tcgplayer.com/product/533049_200w.jpg,62,23354,https://cpt.tcgcsv.com/_dh6,2024-02-02T05:03:19.723,1,0.2,0.95,9.9,0.39,,Cold Foil,Common,HVY199,Equipment,Generic,,,,,2,Chest,,,
533049,Confront Adversity,confront adversity,https://tcgplayer-cdn.tcgplayer.com/product/533049_200w.jpg,62,23354,https://cpt.tcgcsv.com/_dh6,2024-02-02T05:03:19.723,1,0.01,0.17,1.58,0.01,,Normal,Common,HVY199,Equipment,Generic,,,,,2,Chest,,,
533050,Embrace Adversity,embrace adversity,https://tcgplayer-cdn.tcgplayer.com/product/533050_200w.jpg,62,23354,https://cpt.tcgcsv.com/0fh6,2024-02-02T05:03:19.723,1,0.01,0.15,1.58,0.03,,Normal,Common,HVY200,Equipment,Generic,,,,,2,Arms,,,
533050,Embrace Adversity,embrace adversity,https://tcgplayer-cdn.tcgplayer.com/product/533050_200w.jpg,62,23354,https://cpt.tcgcsv.com/0fh6,2024-02-02T05:03:19.723,1,0.25,0.58,8.0,0.56,,Cold Foil,Common,HVY200,Equipment,Generic,,,,,2,Arms,,,
