productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extRarity,extNumber,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardType,extCardSubType,extClass,extCost,extPitchValue,extTalent,extPower,extDefenseValue,extIntellect,extLife
653300,Low Blow,Low Blow,https://tcgplayer-cdn.tcgplayer.com/product/653300_200w.jpg,62,24371,https://cpt.tcgcsv.com/0lf7,2026-06-01T19:45:34.11,1,Common,SUP110,0.01,0.15,1.31,0.1,,Normal,,,,,,,,,,
653379,Tension in the Air (Red),Tension in the Air Red,https://tcgplayer-cdn.tcgplayer.com/product/653379_200w.jpg,62,24371,https://cpt.tcgcsv.com/Cmf7,2026-06-01T19:45:49.623,1,Common,SUP204,0.1,0.4,4.99,0.43,,Rainbow Foil,,,,,,,,,,
653379,Tension in the Air (Red),Tension in the Air Red,https://tcgplayer-cdn.tcgplayer.com/product/653379_200w.jpg,62,24371,https://cpt.tcgcsv.com/Cmf7,2026-06-01T19:45:49.623,1,Common,SUP204,0.01,0.2,1.31,0.1,,Normal,,,,,,,,,,
653380,Tension in the Air (Yellow),Tension in the Air Yellow,https://tcgplayer-cdn.tcgplayer.com/product/653380_200w.jpg,62,24371,https://cpt.tcgcsv.com/Dmf7,2026-06-01T19:45:49.723,1,Common,SUP205,0.14,0.25,4.99,0.2,,Rainbow Foil,,,,,,,,,,
653380,Tension in the Air (Yellow),Tension in the Air Yellow,https://tcgplayer-cdn.tcgplayer.com/product/653380_200w.jpg,62,24371,https://cpt.tcgcsv.com/Dmf7,2026-06-01T19:45:49.723,1,Common,SUP205,0.02,0.15,1.34,0.07,,Normal,,,,,,,,,,
653381,Unexpected Backhand (Red),Unexpected Backhand Red,https://tcgplayer-cdn.tcgplayer.com/product/653381_200w.jpg,62,24371,https://cpt.tcgcsv.com/Fmf7,2026-06-01T19:45:41.913,1,Common,SUP161,0.01,0.15,1.31,0.08,,Normal,,,,,,,,,,
653381,Unexpected Backhand (Red),Unexpected Backhand Red,https://tcgplayer-cdn.tcgplayer.com/product/653381_200w.jpg,62,24371,https://cpt.tcgcsv.com/Fmf7,2026-06-01T19:45:41.913,1,Common,SUP161,0.1,0.27,4.99,0.28,,Rainbow Foil,,,,,,,,,,
653382,Tension in the Air (Blue),Tension in the Air Blue,https://tcgplayer-cdn.tcgplayer.com/product/653382_200w.jpg,62,24371,https://cpt.tcgcsv.com/Gmf7,2026-06-01T19:45:49.847,1,Common,SUP206,0.05,0.37,4.99,0.3,,Rainbow Foil,,,,,,,,,,
653382,Tension in the Air (Blue),Tension in the Air Blue,https://tcgplayer-cdn.tcgplayer.com/product/653382_200w.jpg,62,24371,https://cpt.tcgcsv.com/Gmf7,2026-06-01T19:45:49.847,1,Common,SUP206,0.02,0.15,1.34,0.1,,Normal,,,,,,,,,,
653383,Unexpected Backhand (Yellow),Unexpected Backhand Yellow,https://tcgplayer-cdn.tcgplayer.com/product/653383_200w.jpg,62,24371,https://cpt.tcgcsv.com/Hmf7,2026-06-01T19:45:42.007,1,Common,SUP162,0.1,0.29,4.99,0.22,,Rainbow Foil,,,,,,,,,,
