productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extCardType,extCardSubType,extClass,extIntellect,extLife,extPower,extCost,extPitchValue,extDefenseValue
517590,Firewall (Blue),Firewall Blue,https://tcgplayer-cdn.tcgplayer.com/product/517590_200w.jpg,62,23295,https://cpt.tcgcsv.com/Q296,2023-09-29T04:03:14.773,1,0.15,0.25,0.75,0.18,,Normal,Rare,TCC026,Block,,Mechanologist,,,,,3,2
517598,"Brevant, Civic Protector",Brevant Civic Protector,https://tcgplayer-cdn.tcgplayer.com/product/517598_200w.jpg,62,23295,https://cpt.tcgcsv.com/-296,2023-09-29T04:03:14.773,1,0.25,0.69,2.2,0.3,,Rainbow Foil,Majestic,TCC027,Hero,Young,Guardian,4,20,,,,
517601,Hammer of Havenhold,Hammer of Havenhold,https://tcgplayer-cdn.tcgplayer.com/product/517601_200w.jpg,62,23295,https://cpt.tcgcsv.com/2396,2023-09-29T04:03:14.773,1,0.1,0.53,4.99,0.1,,Cold Foil,Rare,TCC028,Weapon,Hammer (1H),Guardian,,,3,,,
517604,Bastion of Duty,Bastion of Duty,https://tcgplayer-cdn.tcgplayer.com/product/517604_200w.jpg,62,23295,https://cpt.tcgcsv.com/6396,2023-09-29T04:03:14.773,1,0.2,0.39,0.99,0.3,,Normal,Rare,TCC029,Equipment,Off-Hand,Guardian,,,,,,2
517611,Civic Peak,Civic Peak,https://tcgplayer-cdn.tcgplayer.com/product/517611_200w.jpg,62,23295,https://cpt.tcgcsv.com/f396,2023-09-29T04:03:14.773,1,0.2,0.3,0.75,0.22,,Normal,Rare,TCC030,Equipment,Head,Guardian,,,,,,2
517615,Civic Duty,Civic Duty,https://tcgplayer-cdn.tcgplayer.com/product/517615_200w.jpg,62,23295,https://cpt.tcgcsv.com/k396,2023-09-29T04:03:14.773,1,0.18,0.3,0.75,0.29,,Normal,Rare,TCC031,Equipment,Chest,Guardian,,,,,,2
517616,Civic Guide,Civic Guide,https://tcgplayer-cdn.tcgplayer.com/product/517616_200w.jpg,62,23295,https://cpt.tcgcsv.com/l396,2023-09-29T04:03:14.773,1,0.17,0.3,0.75,0.26,,Normal,Rare,TCC032,Equipment,Arms,Guardian,,,,,,2
517618,Civic Steps,Civic Steps,https://tcgplayer-cdn.tcgplayer.com/product/517618_200w.jpg,62,23295,https://cpt.tcgcsv.com/n396,2023-09-29T04:03:14.773,1,7.54,8.75,14.8,8.13,,Normal,Rare,TCC033,Equipment,Legs,Guardian,,,,,,2
517620,Colossal Bearing,Colossal Bearing,https://tcgplayer-cdn.tcgplayer.com/product/517620_200w.jpg,62,23295,https://cpt.tcgcsv.com/q396,2023-09-29T04:03:14.773,1,0.1,0.38,1.58,0.21,,Normal,Rare,TCC034,Action,Attack,Guardian,,,8,4,1,3
517622,Lay Down the Law,Lay Down the Law,https://tcgplayer-cdn.tcgplayer.com/product/517622_200w.jpg,62,23295,https://cpt.tcgcsv.com/s396,2023-09-29T04:03:14.773,1,0.1,0.4,1.41,0.32,,Normal,Rare,TCC035,Action,Attack,Guardian,,,7,3,1,3
