productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extCardType,extCardSubType,extClass,extIntellect,extLife,extDefenseValue,extCost,extPitchValue,extPower,extTalent
695884,Blade Beckoner Helm (SBA004),Blade Beckoner Helm SBA004,https://tcgplayer-cdn.tcgplayer.com/product/695884_200w.jpg,62,24706,https://cpt.tcgcsv.com/JmB7,2026-06-05T04:10:28.543,1,4.0,4.0,4.0,2.5,,Normal,Rare,SBA004,Equipment,Head,Generic,,,1,,,,
695885,Crown of Dichotomy,Crown of Dichotomy,https://tcgplayer-cdn.tcgplayer.com/product/695885_200w.jpg,62,24706,https://cpt.tcgcsv.com/KmB7,2026-06-05T04:10:28.543,1,0.25,0.3,0.3,0.25,,Normal,Common,SBA005,Equipment,Head,Runeblade,,,0,,,,
695886,Blossom of Spring,Blossom of Spring,https://tcgplayer-cdn.tcgplayer.com/product/695886_200w.jpg,62,24706,https://cpt.tcgcsv.com/LmB7,2026-06-05T04:10:28.543,1,1.0,1.5,2.0,1.0,,Normal,Common,SBA006,Equipment,Chest,Generic,,,0,,,,
695887,Blade Beckoner Gauntlets (SBA007),Blade Beckoner Gauntlets SBA007,https://tcgplayer-cdn.tcgplayer.com/product/695887_200w.jpg,62,24706,https://cpt.tcgcsv.com/MmB7,2026-06-05T04:10:28.543,1,1.95,1.97,1.99,1.0,,Normal,Rare,SBA007,Equipment,Arms,Generic,,,1,,,,
695888,Swiftstrike Bracers,Swiftstrike Bracers,https://tcgplayer-cdn.tcgplayer.com/product/695888_200w.jpg,62,24706,https://cpt.tcgcsv.com/NmB7,2026-06-05T04:10:28.543,1,0.25,0.3,0.3,,,Normal,Common,SBA008,Equipment,Arms,Generic,,,0,,,,
695889,Blade Beckoner Boots (SBA009),Blade Beckoner Boots SBA009,https://tcgplayer-cdn.tcgplayer.com/product/695889_200w.jpg,62,24706,https://cpt.tcgcsv.com/PmB7,2026-06-05T04:10:28.543,1,4.95,4.99,5.0,5.0,,Normal,Rare,SBA009,Equipment,Legs,Generic,,,1,,,,
695890,Quick Clicks,Quick Clicks,https://tcgplayer-cdn.tcgplayer.com/product/695890_200w.jpg,62,24706,https://cpt.tcgcsv.com/QmB7,2026-06-05T04:10:28.543,1,0.2,0.25,0.25,,,Normal,Common,SBA010,Equipment,Legs,Generic,,,0,,,,
695891,Arcanic Shockwave (Red),Arcanic Shockwave Red,https://tcgplayer-cdn.tcgplayer.com/product/695891_200w.jpg,62,24706,https://cpt.tcgcsv.com/RmB7,2026-06-05T04:10:28.543,1,0.2,0.25,0.25,0.2,,Normal,Common,SBA011,Action,Attack,Runeblade,,,3,0,1,4,Elemental
695892,Entwine Lightning (Red),Entwine Lightning Red,https://tcgplayer-cdn.tcgplayer.com/product/695892_200w.jpg,62,24706,https://cpt.tcgcsv.com/SmB7,2026-06-05T04:10:28.543,1,0.25,0.3,0.3,,,Normal,Common,SBA012,Action,Attack,,,,2,0,1,4,Elemental
695893,Fry (Red),Fry Red,https://tcgplayer-cdn.tcgplayer.com/product/695893_200w.jpg,62,24706,https://cpt.tcgcsv.com/TmB7,2026-06-05T04:10:28.543,1,0.2,0.25,0.25,,,Normal,Common,SBA013,Action,Attack,,,,0,0,1,3,Lightning
695894,Jack Be Quick (Red),Jack Be Quick Red,https://tcgplayer-cdn.tcgplayer.com/product/695894_200w.jpg,62,24706,https://cpt.tcgcsv.com/VmB7,2026-06-05T04:10:28.543,1,0.25,0.38,0.4,,,Normal,Rare,SBA014,Action,Attack,Generic,,,3,0,1,3,
695895,Lightning Surge (Red),Lightning Surge Red,https://tcgplayer-cdn.tcgplayer.com/product/695895_200w.jpg,62,24706,https://cpt.tcgcsv.com/WmB7,2026-06-05T04:10:28.543,1,0.2,0.25,0.25,0.2,,Normal,Common,SBA015,Action,Attack,,,,2,0,1,4,Lightning
