productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extCardType,extCardSubType,extClass,extTalent,extIntellect,extLife,extDefenseValue,extPower,extCost,extPitchValue,extFlavorText
238433,Rift Bind (Red),Rift Bind Red,https://tcgplayer-cdn.tcgplayer.com/product/238433_200w.jpg,62,2820,https://cpt.tcgcsv.com/HnW2,2025-03-10T17:59:35.053,1,0.07,0.25,1.75,,,Normal,Common,CHN011,Action,Attack,Runeblade,Shadow,,,3,3,1,1,
238434,Rifted Torment (Red),Rifted Torment Red,https://tcgplayer-cdn.tcgplayer.com/product/238434_200w.jpg,62,2820,https://cpt.tcgcsv.com/JnW2,2025-03-10T17:50:57.743,1,0.09,0.25,1.69,,,Normal,Common,CHN012,Action,Attack,Runeblade,Shadow,,,3,4,2,1,
238435,Rip Through Reality (Red),Rip Through Reality Red,https://tcgplayer-cdn.tcgplayer.com/product/238435_200w.jpg,62,2820,https://cpt.tcgcsv.com/KnW2,2025-03-10T17:51:06.69,1,0.04,0.25,1.75,,,Normal,Common,CHN013,Action,Attack,Runeblade,Shadow,,,3,4,2,1,
238436,Seeds of Agony (Red),Seeds of Agony Red,https://tcgplayer-cdn.tcgplayer.com/product/238436_200w.jpg,62,2820,https://cpt.tcgcsv.com/LnW2,2025-03-10T17:27:55.8,1,0.09,0.25,1.69,,,Normal,Common,CHN014,Action,,Runeblade,Shadow,,,2,,0,1,
238437,Unhallowed Rites (Red),Unhallowed Rites Red,https://tcgplayer-cdn.tcgplayer.com/product/238437_200w.jpg,62,2820,https://cpt.tcgcsv.com/MnW2,2025-03-10T18:04:47.973,1,0.1,0.25,1.97,0.25,,Normal,Rare,CHN015,Action,Attack,Runeblade,Shadow,,,3,4,1,1,
238438,Seeds of Agony (Yellow),Seeds of Agony Yellow,https://tcgplayer-cdn.tcgplayer.com/product/238438_200w.jpg,62,2820,https://cpt.tcgcsv.com/NnW2,2025-03-10T17:28:06.577,1,0.09,0.25,1.69,0.13,,Normal,Common,CHN016,Action,,Runeblade,Shadow,,,2,,0,2,
238439,Seeping Shadows (Yellow),Seeping Shadows Yellow,https://tcgplayer-cdn.tcgplayer.com/product/238439_200w.jpg,62,2820,https://cpt.tcgcsv.com/PnW2,2025-03-10T17:53:19.527,1,0.08,0.25,1.99,,,Normal,Rare,CHN017,Action,,Runeblade,Shadow,,,2,,3,2,
238440,Piercing Shadow Vise (Blue),Piercing Shadow Vise Blue,https://tcgplayer-cdn.tcgplayer.com/product/238440_200w.jpg,62,2820,https://cpt.tcgcsv.com/QnW2,2025-03-10T18:04:51.703,1,0.04,0.25,1.75,,,Normal,Common,CHN018,Action,Attack,Runeblade,Shadow,,,3,2,2,3,
238441,Rift Bind (Blue),Rift Bind Blue,https://tcgplayer-cdn.tcgplayer.com/product/238441_200w.jpg,62,2820,https://cpt.tcgcsv.com/RnW2,2025-03-10T17:59:42.627,1,0.1,0.25,1.69,0.17,,Normal,Common,CHN019,Action,Attack,Runeblade,Shadow,,,3,1,1,3,
238442,Rifted Torment (Blue),Rifted Torment Blue,https://tcgplayer-cdn.tcgplayer.com/product/238442_200w.jpg,62,2820,https://cpt.tcgcsv.com/SnW2,2025-03-10T17:45:17.287,1,0.09,0.25,1.69,,,Normal,Common,CHN020,Action,Attack,Runeblade,Shadow,,,3,2,2,3,
238444,Ghostly Visit (Red),Ghostly Visit Red,https://tcgplayer-cdn.tcgplayer.com/product/238444_200w.jpg,62,2820,https://cpt.tcgcsv.com/VnW2,2025-03-10T17:47:37.717,1,0.09,0.25,1.23,0.3,,Normal,Common,CHN021,Action,Attack,,Shadow,,,3,4,1,1,
238446,Howl from Beyond (Red),Howl from Beyond Red,https://tcgplayer-cdn.tcgplayer.com/product/238446_200w.jpg,62,2820,https://cpt.tcgcsv.com/XnW2,2025-03-10T17:40:39.403,1,0.25,0.32,10.75,0.49,,Normal,Rare,CHN022,Action,,,Shadow,,,2,,2,1,
238447,Lunartide Plunderer (Yellow),Lunartide Plunderer Yellow,https://tcgplayer-cdn.tcgplayer.com/product/238447_200w.jpg,62,2820,https://cpt.tcgcsv.com/ZnW2,2025-03-10T18:03:13.083,1,0.09,0.25,1.69,,,Normal,Common,CHN023,Action,Attack,,Shadow,,,2,6,3,2,
238448,Spew Shadow (Yellow),Spew Shadow Yellow,https://tcgplayer-cdn.tcgplayer.com/product/238448_200w.jpg,62,2820,https://cpt.tcgcsv.com/-nW2,2025-03-10T17:47:55.183,1,0.09,0.25,1.69,0.13,,Normal,Common,CHN024,Instant,Attack,,Shadow,,,2,,2,2,
238450,Consuming Volition (Red),Consuming Volition Red,https://tcgplayer-cdn.tcgplayer.com/product/238450_200w.jpg,62,2820,https://cpt.tcgcsv.com/0pW2,2025-03-10T18:05:48.467,1,0.1,0.35,2.04,,,Normal,Common,CHN025,Action,Attack,Runeblade,Shadow,,,3,4,1,1,<em>The tongue is the only weapon that grows sharper with use.</em>
238452,Vexing Malice (Red),Vexing Malice Red,https://tcgplayer-cdn.tcgplayer.com/product/238452_200w.jpg,62,2820,https://cpt.tcgcsv.com/3pW2,2025-03-10T17:48:09.26,1,0.22,0.25,2.94,,,Normal,Rare,CHN026,Action,Attack,Runeblade,Shadow,,,3,3,1,1,
238453,Arcanic Crackle (Blue),Arcanic Crackle Blue,https://tcgplayer-cdn.tcgplayer.com/product/238453_200w.jpg,62,2820,https://cpt.tcgcsv.com/5pW2,2025-03-10T17:28:52.64,1,0.1,0.25,1.69,,,Normal,Common,CHN027,Action,Attack,Runeblade,Shadow,,,3,1,0,3,
238454,Warmonger's Recital (Red),Warmongers Recital Red,https://tcgplayer-cdn.tcgplayer.com/product/238454_200w.jpg,62,2820,https://cpt.tcgcsv.com/6pW2,2021-05-14T04:03:14.213,1,0.1,0.25,1.69,0.14,,Normal,Common,CHN028,Action,,Generic,,,,2,,1,1,
238455,Warmonger's Recital (Yellow),Warmongers Recital Yellow,https://tcgplayer-cdn.tcgplayer.com/product/238455_200w.jpg,62,2820,https://cpt.tcgcsv.com/7pW2,2021-10-26T17:17:08.05,1,0.1,0.25,1.69,0.15,,Normal,Common,CHN029,Action,,Generic,,,,2,,1,2,
238456,Soul Shackle,Soul Shackle,https://tcgplayer-cdn.tcgplayer.com/product/238456_200w.jpg,62,2820,https://cpt.tcgcsv.com/8pW2,2025-03-10T18:04:59.227,1,0.1,0.3,1.67,0.21,,Normal,Token,CHN030,Token,Aura,Runeblade,Shadow,,,,,,,
