productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extRarity,extNumber,extCardType,extClass,extTalent,extIntellect,extLife,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCost,extPitchValue,extCardSubType,extPower,extDefenseValue,extFlavorText
653233,Song of Sinew,Song of Sinew,https://tcgplayer-cdn.tcgplayer.com/product/653233_200w.jpg,62,24371,https://cpt.tcgcsv.com/Hjf7,2025-09-26T04:11:04.067,1,Super Rare,SUP134,Action,Brute,,,,0.4,2.0,22.99,1.47,,Rainbow Foil,0,2,,,2,
653234,Smash with Big Rock,Smash with Big Rock,https://tcgplayer-cdn.tcgplayer.com/product/653234_200w.jpg,62,24371,https://cpt.tcgcsv.com/Jjf7,2025-09-26T04:11:04.067,1,Super Rare,SUP133,Action,Brute,,,,0.01,0.37,12.0,0.18,,Normal,2,2,Attack,6,0,"<em>""I left him three rocks and he chose the biggest one. By Brute standards, that grunt's a master weaponsmith!""</em> —Victor Goldmane"
653234,Smash with Big Rock,Smash with Big Rock,https://tcgplayer-cdn.tcgplayer.com/product/653234_200w.jpg,62,24371,https://cpt.tcgcsv.com/Jjf7,2025-09-26T04:11:04.067,1,Super Rare,SUP133,Action,Brute,,,,0.21,1.28,19.99,1.28,,Rainbow Foil,2,2,Attack,6,0,"<em>""I left him three rocks and he chose the biggest one. By Brute standards, that grunt's a master weaponsmith!""</em> —Victor Goldmane"
653235,Show of Strength,Show of Strength,https://tcgplayer-cdn.tcgplayer.com/product/653235_200w.jpg,62,24371,https://cpt.tcgcsv.com/Kjf7,2025-10-15T14:46:57.513,1,Majestic,SUP128,Action,Brute,,,,11.0,14.46,23.5,13.86,,Normal,2,1,Attack,8,3,
653236,Truth or Trickery,Truth or Trickery,https://tcgplayer-cdn.tcgplayer.com/product/653236_200w.jpg,62,24371,https://cpt.tcgcsv.com/Ljf7,2025-09-26T04:11:04.067,1,Super Rare,SUP077,Block,Guardian,Reviled,,,0.24,1.69,29.99,1.67,,Rainbow Foil,,2,Attack,,3,
653236,Truth or Trickery,Truth or Trickery,https://tcgplayer-cdn.tcgplayer.com/product/653236_200w.jpg,62,24371,https://cpt.tcgcsv.com/Ljf7,2025-09-26T04:11:04.067,1,Super Rare,SUP077,Block,Guardian,Reviled,,,0.09,0.34,12.0,0.31,,Normal,,2,Attack,,3,
653237,Leave Them Hanging,Leave Them Hanging,https://tcgplayer-cdn.tcgplayer.com/product/653237_200w.jpg,62,24371,https://cpt.tcgcsv.com/Mjf7,2025-09-26T20:13:13.653,1,Majestic,SUP074,Instant,Guardian,Reviled,,,0.5,1.16,14.5,1.02,,Normal,3,1,Aura,,3,
653238,Leave Them Hanging (Extended Art),Leave Them Hanging Extended Art,https://tcgplayer-cdn.tcgplayer.com/product/653238_200w.jpg,62,24371,https://cpt.tcgcsv.com/Njf7,2025-09-26T04:11:04.067,1,Majestic,SUP074,Instant,Guardian,Reviled,,,21.29,27.36,99.99,22.19,,Cold Foil,3,1,Aura,,3,
653291,Revolting Gesture,Revolting Gesture,https://tcgplayer-cdn.tcgplayer.com/product/653291_200w.jpg,62,24371,https://cpt.tcgcsv.com/Rkf7,2025-09-26T04:11:04.067,1,Common,SUP119,Action,,Reviled,,,0.03,0.2,0.78,0.14,,Normal,1,1,,,2,
653291,Revolting Gesture,Revolting Gesture,https://tcgplayer-cdn.tcgplayer.com/product/653291_200w.jpg,62,24371,https://cpt.tcgcsv.com/Rkf7,2025-09-26T04:11:04.067,1,Common,SUP119,Action,,Reviled,,,0.15,0.43,4.99,0.38,,Rainbow Foil,1,1,,,2,
