productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extCardType,extCardSubType,extClass,extTalent,extCost,extPitchValue,extPower,extDefenseValue,extIntellect,extLife
653814,Edge of Their Seats (Blue),Edge of Their Seats Blue,https://tcgplayer-cdn.tcgplayer.com/product/653814_200w.jpg,62,24375,https://cpt.tcgcsv.com/jxf7,2025-09-19T04:10:10.91,1,0.24,0.27,0.69,,,Normal,Common,APS023,Instant,Aura,Guardian,,3,3,,3,,
653815,Tension in the Air (Red),Tension in the Air Red,https://tcgplayer-cdn.tcgplayer.com/product/653815_200w.jpg,62,24375,https://cpt.tcgcsv.com/kxf7,2025-09-19T04:10:10.91,1,0.1,0.25,0.57,,,Normal,Common,APS013,Instant,Aura,Guardian,,2,1,,3,,
653816,Tension in the Air (Blue),Tension in the Air Blue,https://tcgplayer-cdn.tcgplayer.com/product/653816_200w.jpg,62,24375,https://cpt.tcgcsv.com/lxf7,2025-09-19T04:10:10.91,1,0.1,0.25,0.57,,,Normal,Common,APS025,Instant,Aura,Guardian,,2,3,,3,,
653817,Thespian Charm,Thespian Charm,https://tcgplayer-cdn.tcgplayer.com/product/653817_200w.jpg,62,24375,https://cpt.tcgcsv.com/mxf7,2025-09-19T04:10:10.91,1,6.93,7.7,17.56,,,Normal,Super Rare,APS014,Instant,,Guardian,Revered,0,2,,,,
653818,Never Give Up,Never Give Up,https://tcgplayer-cdn.tcgplayer.com/product/653818_200w.jpg,62,24375,https://cpt.tcgcsv.com/nxf7,2025-10-09T15:13:27.173,1,0.24,0.91,7.0,0.25,,Normal,Super Rare,APS015,Block,,,Revered,,2,,3,,
653819,Boulder Drop (Blue),Boulder Drop Blue,https://tcgplayer-cdn.tcgplayer.com/product/653819_200w.jpg,62,24375,https://cpt.tcgcsv.com/pxf7,2025-09-19T04:10:10.91,1,2.97,3.04,4.9,3.05,,Normal,Rare,APS016,Action,Attack,Guardian,,3,3,5,3,,
653820,Comeback Kid (Blue),Comeback Kid Blue,https://tcgplayer-cdn.tcgplayer.com/product/653820_200w.jpg,62,24375,https://cpt.tcgcsv.com/qxf7,2025-09-19T04:10:10.91,1,0.79,0.84,1.37,,,Normal,Rare,APS017,Action,Attack,,Revered,3,3,5,3,,
653821,Macho Grande (Blue),Macho Grande Blue,https://tcgplayer-cdn.tcgplayer.com/product/653821_200w.jpg,62,24375,https://cpt.tcgcsv.com/rxf7,2025-09-19T04:10:10.91,1,0.15,0.25,0.86,0.15,,Normal,Rare,APS018,Action,Attack,Guardian,,7,3,8,3,,
653822,Uplifting Performance,Uplifting Performance,https://tcgplayer-cdn.tcgplayer.com/product/653822_200w.jpg,62,24375,https://cpt.tcgcsv.com/sxf7,2025-09-19T04:10:10.91,1,0.25,0.27,0.86,0.29,,Normal,Rare,APS020,Action,Attack,Guardian,Revered,3,3,5,3,,
653823,Tear Asunder,Tear Asunder,https://tcgplayer-cdn.tcgplayer.com/product/653823_200w.jpg,62,24375,https://cpt.tcgcsv.com/txf7,2025-09-19T04:10:10.91,1,7.97,10.0,18.35,11.39,,Normal,Majestic,APS021,Action,,Guardian,,3,3,,3,,
653824,Superstar,Superstar,https://tcgplayer-cdn.tcgplayer.com/product/653824_200w.jpg,62,24375,https://cpt.tcgcsv.com/vxf7,2025-09-19T04:10:10.91,1,7.61,8.48,13.79,8.56,,Normal,Rare,APS024,Instant,Aura,Guardian,Revered,1,3,,3,,
653825,The Suspense is Killing Me,The Suspense is Killing Me,https://tcgplayer-cdn.tcgplayer.com/product/653825_200w.jpg,62,24375,https://cpt.tcgcsv.com/wxf7,2025-09-19T04:10:10.91,1,0.79,0.84,1.37,,,Normal,Common,APS026,Instant,Aura,Guardian,,0,3,,2,,
653826,To Be Continued...,To Be Continued,https://tcgplayer-cdn.tcgplayer.com/product/653826_200w.jpg,62,24375,https://cpt.tcgcsv.com/xxf7,2025-09-19T04:10:10.91,1,0.79,0.84,1.37,,,Normal,Common,APS027,Instant,Aura,Guardian,,0,3,,2,,
653827,Up on a Pedestal,Up on a Pedestal,https://tcgplayer-cdn.tcgplayer.com/product/653827_200w.jpg,62,24375,https://cpt.tcgcsv.com/zxf7,2025-09-19T04:10:10.91,1,5.51,6.46,18.35,11.41,,Normal,Super Rare,APS028,Instant,Aura,Guardian,Revered,0,3,,2,,
653828,What Happens Next?,What Happens Next,https://tcgplayer-cdn.tcgplayer.com/product/653828_200w.jpg,62,24375,https://cpt.tcgcsv.com/Bxf7,2025-09-19T04:10:10.91,1,0.79,0.84,1.37,,,Normal,Common,APS028,Instant,Aura,Guardian,,0,3,,2,,
653829,Turning Point,Turning Point,https://tcgplayer-cdn.tcgplayer.com/product/653829_200w.jpg,62,24375,https://cpt.tcgcsv.com/Cxf7,2025-09-19T04:10:10.91,1,0.69,0.76,1.51,,,Normal,Super Rare,APS030,Block,,Guardian,Revered,,3,,2,,
657458,Confidence,Confidence,https://tcgplayer-cdn.tcgplayer.com/product/657458_200w.jpg,62,24375,https://cpt.tcgcsv.com/b_g7,2025-10-09T15:20:36.92,1,,,,,,,Basic,APS031,Token,Aura,Generic,,,,,,,
657459,Toughness,Toughness,https://tcgplayer-cdn.tcgplayer.com/product/657459_200w.jpg,62,24375,https://cpt.tcgcsv.com/c_g7,2025-10-09T15:22:12.523,1,,,,,,,Basic,APS032,Token,Aura,Generic,,,,,,,
