productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extCardType,extCardSubType,extClass,extPower,extIntellect,extLife,extPitchValue,extDefenseValue,extCost,extFlavorText
225064,Helm of Isen's Peak,Helm of Isens Peak,https://tcgplayer-cdn.tcgplayer.com/product/225064_200w.jpg,62,2726,https://cpt.tcgcsv.com/j2Q2,2020-11-05T21:08:25.65,1,0.16,0.38,4.0,0.34,,1st Edition Normal,Common,WTR042-C,Equipment,Head,Guardian,,,,,1,,
225064,Helm of Isen's Peak,Helm of Isens Peak,https://tcgplayer-cdn.tcgplayer.com/product/225064_200w.jpg,62,2726,https://cpt.tcgcsv.com/j2Q2,2020-11-05T21:08:25.65,1,0.13,0.39,9.95,0.25,,Unlimited Edition Rainbow Foil,Common,WTR042-C,Equipment,Head,Guardian,,,,,1,,
225065,Crippling Crush,Crippling Crush,https://tcgplayer-cdn.tcgplayer.com/product/225065_200w.jpg,62,2726,https://cpt.tcgcsv.com/k2Q2,2020-11-05T21:10:43.737,1,19.99,26.41,42.9,,,1st Edition Normal,Majestic,WTR043,Action,Attack,Guardian,11,,,1,3,7,
225065,Crippling Crush,Crippling Crush,https://tcgplayer-cdn.tcgplayer.com/product/225065_200w.jpg,62,2726,https://cpt.tcgcsv.com/k2Q2,2020-11-05T21:10:43.737,1,0.25,0.99,12.99,0.74,,Unlimited Edition Normal,Majestic,WTR043,Action,Attack,Guardian,11,,,1,3,7,
225065,Crippling Crush,Crippling Crush,https://tcgplayer-cdn.tcgplayer.com/product/225065_200w.jpg,62,2726,https://cpt.tcgcsv.com/k2Q2,2020-11-05T21:10:43.737,1,303.49,303.49,303.49,300.75,,1st Edition Rainbow Foil,Majestic,WTR043,Action,Attack,Guardian,11,,,1,3,7,
225065,Crippling Crush,Crippling Crush,https://tcgplayer-cdn.tcgplayer.com/product/225065_200w.jpg,62,2726,https://cpt.tcgcsv.com/k2Q2,2020-11-05T21:10:43.737,1,4.01,7.5,45.0,7.05,,Unlimited Edition Rainbow Foil,Majestic,WTR043,Action,Attack,Guardian,11,,,1,3,7,
225066,Bravo // Dorinthea Ironsong,Bravo Dorinthea Ironsong,https://tcgplayer-cdn.tcgplayer.com/product/225066_200w.jpg,62,2726,https://cpt.tcgcsv.com/l2Q2,2025-03-04T21:48:51.287,2,1.0,1.0,1.0,,,1st Edition Normal,Token,WTR039 // WTR113,Hero,Young,Guardian;Warrior,,4,40,,,,
225067,Spinal Crush,Spinal Crush,https://tcgplayer-cdn.tcgplayer.com/product/225067_200w.jpg,62,2726,https://cpt.tcgcsv.com/m2Q2,2020-11-05T21:10:52.777,1,2.36,4.16,40.0,4.16,,Unlimited Edition Normal,Majestic,WTR044,Action,Attack,Guardian,9,,,1,3,5,
225067,Spinal Crush,Spinal Crush,https://tcgplayer-cdn.tcgplayer.com/product/225067_200w.jpg,62,2726,https://cpt.tcgcsv.com/m2Q2,2020-11-05T21:10:52.777,1,18.99,24.19,100.0,32.49,,1st Edition Normal,Majestic,WTR044,Action,Attack,Guardian,9,,,1,3,5,
225067,Spinal Crush,Spinal Crush,https://tcgplayer-cdn.tcgplayer.com/product/225067_200w.jpg,62,2726,https://cpt.tcgcsv.com/m2Q2,2020-11-05T21:10:52.777,1,12.68,18.5,107.4,19.71,,Unlimited Edition Rainbow Foil,Majestic,WTR044,Action,Attack,Guardian,9,,,1,3,5,
225068,Cranial Crush,Cranial Crush,https://tcgplayer-cdn.tcgplayer.com/product/225068_200w.jpg,62,2726,https://cpt.tcgcsv.com/n2Q2,2020-11-05T21:25:09.04,1,5.0,6.63,11.98,5.9,,1st Edition Normal,Super Rare,WTR045,Action,Attack,Guardian,8,,,3,3,6,"<em>""Leave now, or a hangover will be the least of your worries."" - Valda Brightaxe""</em>"
