productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extCardType,extClass,extIntellect,extLife,extCardSubType,extTalent,extCost,extPitchValue,extDefenseValue,extPower,extFlavorText
612618,Twist and Turn (Blue),Twist and Turn Blue,https://tcgplayer-cdn.tcgplayer.com/product/612618_200w.jpg,62,23815,https://cpt.tcgcsv.com/n3W6,2025-01-31T05:10:13.37,1,0.01,0.25,1.99,0.15,,Normal,Rare,HNT124,Action,Warrior,,,,,0,3,3,,
612622,Cut Deep (Red),Cut Deep Red,https://tcgplayer-cdn.tcgplayer.com/product/612622_200w.jpg,62,23815,https://cpt.tcgcsv.com/s3W6,2025-01-31T05:10:13.37,1,0.01,0.17,1.39,0.09,,Normal,Common,HNT128,Action,Warrior,,,,,0,1,3,,
612622,Cut Deep (Red),Cut Deep Red,https://tcgplayer-cdn.tcgplayer.com/product/612622_200w.jpg,62,23815,https://cpt.tcgcsv.com/s3W6,2025-01-31T05:10:13.37,1,0.1,0.25,5.0,0.21,,Rainbow Foil,Common,HNT128,Action,Warrior,,,,,0,1,3,,
612623,Cut Deep (Yellow),Cut Deep Yellow,https://tcgplayer-cdn.tcgplayer.com/product/612623_200w.jpg,62,23815,https://cpt.tcgcsv.com/t3W6,2025-01-31T05:10:13.37,1,0.08,0.25,5.0,0.19,,Rainbow Foil,Common,HNT129,Action,Warrior,,,,,0,2,3,,
612623,Cut Deep (Yellow),Cut Deep Yellow,https://tcgplayer-cdn.tcgplayer.com/product/612623_200w.jpg,62,23815,https://cpt.tcgcsv.com/t3W6,2025-01-31T05:10:13.37,1,0.05,0.2,1.44,0.12,,Normal,Common,HNT129,Action,Warrior,,,,,0,2,3,,
612624,Cut Deep (Blue),Cut Deep Blue,https://tcgplayer-cdn.tcgplayer.com/product/612624_200w.jpg,62,23815,https://cpt.tcgcsv.com/v3W6,2025-01-31T05:10:13.37,1,0.1,0.25,5.0,0.33,,Rainbow Foil,Common,HNT130,Action,Warrior,,,,,0,3,3,,
612624,Cut Deep (Blue),Cut Deep Blue,https://tcgplayer-cdn.tcgplayer.com/product/612624_200w.jpg,62,23815,https://cpt.tcgcsv.com/v3W6,2025-01-31T05:10:13.37,1,0.01,0.16,1.4,0.09,,Normal,Common,HNT130,Action,Warrior,,,,,0,3,3,,
612625,Hunt a Killer (Red),Hunt a Killer Red,https://tcgplayer-cdn.tcgplayer.com/product/612625_200w.jpg,62,23815,https://cpt.tcgcsv.com/w3W6,2025-01-31T05:10:13.37,1,0.05,0.2,1.0,0.13,,Normal,Common,HNT131,Action,Warrior,,,,,1,1,3,,
612625,Hunt a Killer (Red),Hunt a Killer Red,https://tcgplayer-cdn.tcgplayer.com/product/612625_200w.jpg,62,23815,https://cpt.tcgcsv.com/w3W6,2025-01-31T05:10:13.37,1,0.1,0.25,5.0,0.14,,Rainbow Foil,Common,HNT131,Action,Warrior,,,,,1,1,3,,
612626,Hunt a Killer (Yellow),Hunt a Killer Yellow,https://tcgplayer-cdn.tcgplayer.com/product/612626_200w.jpg,62,23815,https://cpt.tcgcsv.com/x3W6,2025-01-31T05:10:13.37,1,0.01,0.15,1.0,0.08,,Normal,Common,HNT132,Action,Warrior,,,,,1,2,3,,
