productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extCardType,extCardSubType,extClass,extTalent,extIntellect,extLife,extPower,extDefenseValue,extCost,extPitchValue
561923,Burgeoning (Red),Burgeoning Red,https://tcgplayer-cdn.tcgplayer.com/product/561923_200w.jpg,62,23548,https://cpt.tcgcsv.com/tNv6,2024-08-23T04:08:14.833,1,0.09,0.2,3.99,,,Normal,Common,TER009,Action,Attack,,Earth,,,6,2,2,1
561924,Concuss (Red),Concuss Red,https://tcgplayer-cdn.tcgplayer.com/product/561924_200w.jpg,62,23548,https://cpt.tcgcsv.com/vNv6,2024-08-23T04:08:14.833,1,0.14,0.25,3.99,0.17,,Normal,Common,TER010,Action,Attack,Guardian,,,,6,3,3,1
561925,Log Fall (Red),Log Fall Red,https://tcgplayer-cdn.tcgplayer.com/product/561925_200w.jpg,62,23548,https://cpt.tcgcsv.com/wNv6,2025-03-03T22:19:17.583,1,0.24,0.25,2.49,0.25,,Normal,Common,TER011,Action,Attack,Guardian,Elemental,,,5,3,3,1
561926,Strong Wood (Red),Strong Wood Red,https://tcgplayer-cdn.tcgplayer.com/product/561926_200w.jpg,62,23548,https://cpt.tcgcsv.com/xNv6,2024-08-23T04:08:14.833,1,0.22,0.29,3.99,0.3,,Normal,Common,TER012,Action,Attack,Guardian,Elemental,,,6,3,3,1
561927,Autumn's Touch (Yellow),Autumns Touch Yellow,https://tcgplayer-cdn.tcgplayer.com/product/561927_200w.jpg,62,23548,https://cpt.tcgcsv.com/zNv6,2024-08-23T04:08:14.833,1,0.13,0.2,2.49,,,Normal,Common,TER013,Action,Attack,,Earth,,,6,3,3,2
561928,Bracken Rap (Yellow),Bracken Rap Yellow,https://tcgplayer-cdn.tcgplayer.com/product/561928_200w.jpg,62,23548,https://cpt.tcgcsv.com/BNv6,2024-08-23T04:08:14.833,1,0.24,0.25,2.49,0.25,,Normal,Common,TER014,Action,Attack,Guardian,Elemental,,,5,3,3,2
561929,Log Fall (Yellow),Log Fall Yellow,https://tcgplayer-cdn.tcgplayer.com/product/561929_200w.jpg,62,23548,https://cpt.tcgcsv.com/CNv6,2025-03-03T22:19:22.537,1,0.24,0.25,2.49,0.25,,Normal,Common,TER015,Action,Attack,Guardian,Elemental,,,4,3,3,2
561930,Strong Wood (Yellow),Strong Wood Yellow,https://tcgplayer-cdn.tcgplayer.com/product/561930_200w.jpg,62,23548,https://cpt.tcgcsv.com/DNv6,2024-08-23T04:08:14.833,1,0.24,0.25,2.49,0.25,,Normal,Common,TER016,Action,Attack,Guardian,Elemental,,,5,3,3,2
561931,Flourish (Yellow),Flourish Yellow,https://tcgplayer-cdn.tcgplayer.com/product/561931_200w.jpg,62,23548,https://cpt.tcgcsv.com/FNv6,2024-08-23T04:08:14.833,1,0.19,0.5,2.5,0.47,,Normal,Rare,TER017,Action,,,Earth,,,,2,0,2
561932,Seeds of Strength (Yellow),Seeds of Strength Yellow,https://tcgplayer-cdn.tcgplayer.com/product/561932_200w.jpg,62,23548,https://cpt.tcgcsv.com/GNv6,2024-08-23T04:08:14.833,1,0.14,0.25,2.49,0.15,,Normal,Common,TER018,Action,,Guardian,Elemental,,,,3,2,2
